phase,magnitude,episode_outcome,transitions,exact_rate,mean_prefix
early,high-motion,failure,104,0.08653846153846154,0.9711538461538461
early,high-motion,success,78,0.05128205128205128,1.141025641025641
early,low-motion,failure,94,0.09574468085106383,1.2553191489361701
early,low-motion,success,111,0.22522522522522523,2.018018018018018
late,high-motion,failure,74,0.0945945945945946,1.554054054054054
late,high-motion,success,147,0.1564625850340136,1.4557823129251701
late,low-motion,failure,126,0.15079365079365079,2.246031746031746
late,low-motion,success,42,0.11904761904761904,1.4761904761904763
middle,high-motion,failure,83,0.04819277108433735,0.9759036144578314
middle,high-motion,success,102,0.0784313725490196,0.9803921568627451
middle,low-motion,failure,117,0.28205128205128205,2.7094017094017095
middle,low-motion,success,88,0.07954545454545454,1.0
