record,position,top1_match,max_abs_logit_difference,mean_abs_logit_difference,serial_divergent_accepted_tokens_in_action,strict_accepted_prefix_length,causal_comparable_positions
0,0,1,0.0625,0.003185272216796875,0,7,7
0,1,1,0.5,0.14680826663970947,0,7,7
0,2,1,0.4375,0.13933038711547852,0,7,7
0,3,1,0.701171875,0.20911455154418945,0,7,7
0,4,1,0.6875,0.18820571899414062,0,7,7
0,5,1,0.75,0.16115903854370117,0,7,7
0,6,1,0.46875,0.13860511779785156,0,7,7
1,0,1,0.125,0.006636500358581543,0,0,1
2,0,1,0.125,0.0039577484130859375,0,0,1
3,0,1,0.125,0.005453944206237793,0,0,1
4,0,1,0.125,0.006646633148193359,0,0,1
5,0,1,0.125,0.005474090576171875,0,0,1
6,0,1,0.25,0.008253097534179688,0,0,1
7,0,1,0.25,0.0056915283203125,0,0,1
8,0,1,0.25,0.00632476806640625,0,3,4
8,1,1,0.625,0.15155982971191406,0,3,4
8,2,1,0.6875,0.15631914138793945,0,3,4
8,3,1,0.875,0.16582870483398438,0,3,4
9,0,1,0.125,0.006876468658447266,0,0,1
10,0,1,0.25,0.004563570022583008,0,3,4
10,1,1,0.46875,0.14340877532958984,0,3,4
10,2,1,0.75,0.16879189014434814,0,3,4
10,3,1,0.75,0.18570423126220703,0,3,4
11,0,1,0.125,0.006060600280761719,0,0,1
12,0,1,0.25,0.005580782890319824,0,2,3
12,1,1,0.625,0.1673564910888672,0,2,3
12,2,1,0.625,0.13219547271728516,0,2,3
13,0,1,0.25,0.0065765380859375,0,7,7
13,1,1,0.5,0.129669189453125,0,7,7
13,2,1,0.640625,0.1554431915283203,0,7,7
13,3,1,0.5078125,0.13501930236816406,0,7,7
13,4,1,0.765625,0.21373200416564941,0,7,7
13,5,1,0.75,0.1748828887939453,0,7,7
13,6,1,0.40625,0.09417867660522461,0,7,7
14,0,1,0.125,0.004852771759033203,0,0,1
15,0,1,0.125,0.004251856356859207,0,1,2
15,1,1,0.48046875,0.15263235569000244,0,1,2
16,0,1,0.125,0.0051822662353515625,0,0,1
17,0,1,0.25,0.01163482666015625,0,0,1
18,0,1,0.25,0.01262664794921875,0,7,7
18,1,1,0.513671875,0.11238336563110352,0,7,7
18,2,1,0.6875,0.17737364768981934,0,7,7
18,3,1,0.5,0.15633201599121094,0,7,7
18,4,1,0.625,0.16704154014587402,0,7,7
18,5,1,0.6875,0.16903305053710938,0,7,7
18,6,1,0.3125,0.0843498706817627,0,7,7
19,0,1,0.125,0.00701904296875,0,0,1
20,0,1,0.25,0.007555961608886719,0,0,1
21,0,1,0.25,0.0065364837646484375,0,0,1
22,0,1,0.25,0.0057659149169921875,0,0,1
23,0,1,0.25,0.008680343627929688,0,7,7
23,1,1,0.5,0.1526474952697754,0,7,7
23,2,1,0.5859375,0.1634082794189453,0,7,7
23,3,1,0.625,0.17804718017578125,0,7,7
23,4,1,0.7421875,0.19084739685058594,0,7,7
23,5,1,0.65625,0.16810989379882812,0,7,7
23,6,1,0.375,0.10397815704345703,0,7,7
24,0,1,0.125,0.007713794708251953,0,0,1
25,0,1,0.125,0.009105205535888672,0,0,1
26,0,1,0.125,0.0069122314453125,0,0,1
27,0,1,0.125,0.0060176849365234375,0,0,1
28,0,1,0.125,0.008588790893554688,0,0,1
29,0,1,0.125,0.00606536865234375,0,0,1
30,0,1,0.125,0.007610321044921875,0,0,1
31,0,1,0.125,0.007686614990234375,0,2,3
31,1,1,0.75,0.14445829391479492,0,2,3
31,2,1,0.75,0.19586753845214844,0,2,3
32,0,1,0.0625,0.004736900329589844,0,0,1
33,0,1,0.125,0.006396770477294922,0,0,1
34,0,1,0.25,0.0050201416015625,0,0,1
35,0,1,0.125,0.006308555603027344,0,0,1
36,0,1,0.0625,0.004242897033691406,0,0,1
37,0,1,0.125,0.0043125152587890625,0,0,1
38,0,1,0.25,0.006331443786621094,0,0,1
39,0,1,0.125,0.00830078125,0,3,4
39,1,1,0.625,0.15595412254333496,0,3,4
39,2,1,0.75,0.12987899780273438,0,3,4
39,3,1,0.796875,0.20888757705688477,0,3,4
40,0,1,0.125,0.005221843719482422,0,7,7
40,1,1,0.3828125,0.110748291015625,0,7,7
40,2,1,0.56396484375,0.12793731689453125,0,7,7
40,3,1,0.65625,0.16826820373535156,0,7,7
40,4,1,0.75,0.16251564025878906,0,7,7
40,5,1,0.5,0.13318443298339844,0,7,7
40,6,1,0.3125,0.07677316665649414,0,7,7
41,0,1,0.125,0.00565338134765625,0,7,7
41,1,1,0.375,0.10506200790405273,0,7,7
41,2,1,0.625,0.11759686470031738,0,7,7
41,3,1,0.75,0.23279690742492676,0,7,7
41,4,1,0.6875,0.1852564811706543,0,7,7
41,5,1,0.6875,0.15848994255065918,0,7,7
41,6,1,0.3125,0.09069156646728516,0,7,7
42,0,1,0.125,0.005306243896484375,0,0,1
43,0,1,0.125,0.00588381290435791,0,0,1
44,0,1,0.125,0.005721844732761383,0,0,1
45,0,1,0.125,0.004849433898925781,0,0,1
46,0,1,0.125,0.008254051208496094,0,0,1
47,0,1,0.125,0.006268501281738281,0,0,1
48,0,1,0.25,0.0076751708984375,0,0,1
49,0,1,0.125,0.005757331848144531,0,0,1
50,0,1,0.125,0.00450897216796875,0,0,1
51,0,1,0.125,0.004802703857421875,0,3,4
51,1,1,0.5,0.12451171875,0,3,4
51,2,1,0.59375,0.1661229133605957,0,3,4
51,3,0,1.1875,0.19700294733047485,0,3,4
52,0,1,0.125,0.004292488098144531,0,1,2
52,1,1,0.5625,0.1722571849822998,0,1,2
53,0,1,0.25,0.005793571472167969,0,1,2
53,1,1,0.5,0.1642608642578125,0,1,2
54,0,1,0.125,0.005229949951171875,0,1,2
54,1,1,0.4375,0.1236262321472168,0,1,2
55,0,1,0.125,0.006857872009277344,0,1,2
55,1,1,0.390625,0.1467723846435547,0,1,2
56,0,1,0.125,0.00537109375,0,1,2
56,1,1,0.4375,0.11112403869628906,0,1,2
57,0,1,0.25,0.006369829177856445,0,0,1
58,0,1,0.25,0.005101680755615234,3,7,3
58,1,1,0.625,0.14677566289901733,3,7,3
58,2,0,0.890625,0.2037639617919922,3,7,3
59,0,1,0.125,0.006012439727783203,0,0,1
60,0,1,0.125,0.005643367767333984,0,0,1
61,0,1,0.125,0.003658294677734375,0,1,2
61,1,1,0.640625,0.1672687530517578,0,1,2
62,0,1,0.125,0.007465362548828125,0,2,3
62,1,1,0.53125,0.14671540260314941,0,2,3
62,2,1,0.65625,0.18925833702087402,0,2,3
63,0,1,0.125,0.008858203887939453,0,0,1
64,0,1,0.125,0.0061016082763671875,0,0,1
65,0,1,0.125,0.009009361267089844,0,1,2
65,1,1,0.625,0.16890984773635864,0,1,2
66,0,1,0.125,0.006763458251953125,0,0,1
67,0,1,0.125,0.0076751708984375,0,0,1
68,0,1,0.25,0.0068511962890625,0,0,1
69,0,1,0.125,0.0065670013427734375,0,0,1
70,0,1,0.25,0.00727689266204834,0,0,1
71,0,1,0.25,0.011447906494140625,0,0,1
72,0,1,0.125,0.0046825408935546875,0,4,5
72,1,1,0.5,0.11352348327636719,0,4,5
72,2,1,0.5,0.12238311767578125,0,4,5
