candidate,candidate_label,hold_depth,forks,branch_success_rate,one_sided_harm_rate,harm_ci_low,harm_ci_high,mean_first_correction_l2,correction_ci_low,correction_ci_high,mean_recovery_steps,recovery_ci_low,recovery_ci_high,mean_post_hold_state_l2,state_l2_ci_low,state_l2_ci_high,mean_post_hold_eef_position_l2,position_l2_ci_low,position_l2_ci_high,mean_post_hold_eef_rotation_l2,rotation_l2_ci_low,rotation_l2_ci_high
current_target_path,Target continuation,1,2,1.0,0.0,0.0,0.0,0.001504201631920013,0.0,0.003008403263840026,41.0,16.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_target_path,Target continuation,2,2,1.0,0.0,0.0,0.0,0.29664985482987766,0.15464750024243726,0.4386522094173181,40.0,15.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_target_path,Target continuation,3,2,1.0,0.0,0.0,0.0,0.15416276743190185,0.06293450680387642,0.24539102805992727,39.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lag1_target,Lag-1 target action,1,2,1.0,0.0,0.0,0.0,0.15719333794791995,0.1566368276703675,0.15774984822547244,42.5,17.0,68.0,0.004594579934499797,0.002506454324547468,0.0066827055444521255,0.0010310634864200562,0.00102168098646283,0.0010404459863772822,0.0044422237459622125,0.002280303237230006,0.0066041442546944185
lag1_target,Lag-1 target action,2,2,1.0,0.0,0.0,0.0,0.4390388421850648,0.2918970998894366,0.586180584480693,41.0,15.0,67.0,0.012660220607822603,0.006827944257697734,0.018492496957947472,0.0027839341967672354,0.0026009530124832306,0.0029669153810512397,0.01222916251452455,0.006149652886698801,0.018308672142350296
lag1_target,Lag-1 target action,3,2,1.0,0.0,0.0,0.0,0.5783656103637371,0.43427431429409036,0.7224569064333839,40.5,16.0,65.0,0.023272405341359017,0.012793376636923143,0.03375143404579489,0.005924625547490935,0.005763323161384444,0.006085927933597426,0.02230993368748159,0.01142167198899777,0.033198195385965405
lag1_harmonic,"Lag-1, inverse-age",1,2,1.0,0.0,0.0,0.0,0.15719333794791995,0.1566368276703675,0.15774984822547244,42.5,17.0,68.0,0.004594579934499797,0.002506454324547468,0.0066827055444521255,0.0010310634864200562,0.00102168098646283,0.0010404459863772822,0.0044422237459622125,0.002280303237230006,0.0066041442546944185
lag1_harmonic,"Lag-1, inverse-age",2,2,1.0,0.0,0.0,0.0,0.4516926246929661,0.35388596950617895,0.5494992798797532,44.0,14.0,74.0,0.014321804438833144,0.007617081560819399,0.02102652731684689,0.0036102718456712006,0.003501550781432614,0.0037189929099097877,0.013690160044575125,0.00664747709765046,0.02073284299149979
lag1_harmonic,"Lag-1, inverse-age",3,2,1.0,0.0,0.0,0.0,0.594099171767717,0.4950471671472401,0.6931511763881938,41.0,14.0,68.0,0.03025568447917846,0.02005651785478239,0.040454851103574524,0.008379313358644853,0.00737980474688981,0.009378821970399897,0.028752290202602976,0.017728548388889345,0.03977603201631661
lag2_target,Lag-2 target action,1,2,1.0,0.0,0.0,0.0,0.18391266024916397,0.1566368276703675,0.21118849282796046,42.5,17.0,68.0,0.004662086657228393,0.002506454324547468,0.006817718989909319,0.001063741907071016,0.0010404459863772822,0.0010870378277647499,0.004505401957028557,0.002280303237230006,0.006730500676827108
lag2_target,Lag-2 target action,2,2,1.0,0.0,0.0,0.0,0.47043842243857337,0.2918970998894366,0.6489797449877102,41.5,16.0,67.0,0.012950392105038469,0.006827944257697734,0.019072839952379204,0.0031112803833371182,0.0029669153810512397,0.0032556453856229964,0.01247128844318085,0.006149652886698801,0.0187929239996629
lag2_target,Lag-2 target action,3,2,1.0,0.0,0.0,0.0,0.6686812530467361,0.6149055996600884,0.7224569064333839,40.5,16.0,65.0,0.024017635946524826,0.012793376636923143,0.03524189525612651,0.0069060856859771095,0.005763323161384444,0.008048848210569776,0.022866053983466743,0.01142167198899777,0.03431043597793572
same_norm_random,Same-norm random,1,2,0.5,0.5,0.0,1.0,1.498053295237491,1.485663713648847,1.510442876826135,108.5,14.0,203.0,0.04070391925157768,0.0379113923590676,0.043496446144087764,0.011051537795850917,0.009701192548232002,0.012401883043469833,0.03911279494981713,0.03582479185921686,0.042400798040417395
same_norm_random,Same-norm random,2,2,0.5,0.5,0.0,1.0,1.448409067583687,1.3679218687341768,1.528896266433197,106.5,11.0,202.0,0.11730654549136027,0.11494350501282335,0.11966958596989719,0.028842416655843608,0.02650719397733572,0.031177639334351494,0.11366550048068844,0.1106341096130167,0.11669689134836016
same_norm_random,Same-norm random,3,2,0.0,1.0,1.0,1.0,1.4075856135430576,1.3316805531030813,1.4834906739830338,176.0,151.0,201.0,0.20308141709154004,0.197295932684735,0.2088669014983451,0.04483175159180448,0.04267398718427402,0.04698951599933495,0.19806886561386422,0.19262529775716378,0.2035124334705647
zero_motion,Zero motion,1,2,1.0,0.0,0.0,0.0,1.007556088743576,0.914425367794352,1.1006868096928,43.5,15.0,72.0,0.017635368128723454,0.017033016558672953,0.01823771969877395,0.005303865413338212,0.005281847183993197,0.005325883642683227,0.01681806245917864,0.01619337921414424,0.01744274570421304
zero_motion,Zero motion,2,2,1.0,0.0,0.0,0.0,0.9988485198905059,0.914425367794352,1.0832716719866597,41.0,15.0,67.0,0.042729939615188055,0.040750615239186674,0.044709263991189435,0.014552717974531063,0.01420346502882025,0.014901970920241878,0.040160604988434115,0.03792813455070529,0.042393075426162934
zero_motion,Zero motion,3,2,1.0,0.0,0.0,0.0,0.9669185255949588,0.8332038044366387,1.1006332467532791,39.5,16.0,63.0,0.06306186985171873,0.05717424079946782,0.06894949890396963,0.02347611047316321,0.021849521758895554,0.025102699187430865,0.05838234470713148,0.051368741564789,0.06539594784947396
