phase,magnitude,episode_outcome,transitions,exact_rate,mean_prefix
early,high-motion,failure,10,0.0,0.6
early,high-motion,success,81,0.037037037037037035,0.7160493827160493
early,low-motion,failure,63,0.5873015873015873,4.317460317460317
early,low-motion,success,69,0.36231884057971014,3.0144927536231885
late,high-motion,failure,14,0.21428571428571427,1.7142857142857142
late,high-motion,success,105,0.11428571428571428,1.0952380952380953
late,low-motion,failure,59,0.0847457627118644,1.6610169491525424
late,low-motion,success,46,0.08695652173913043,1.7391304347826086
middle,high-motion,failure,41,0.04878048780487805,0.926829268292683
middle,high-motion,success,86,0.16279069767441862,1.313953488372093
middle,low-motion,failure,32,0.0625,1.15625
middle,low-motion,success,68,0.07352941176470588,1.2794117647058822
