record,position,top1_match,max_abs_logit_difference,mean_abs_logit_difference,serial_divergent_accepted_tokens_in_action,strict_accepted_prefix_length,causal_comparable_positions
0,0,1,0.0625,0.005012035369873047,0,0,1
1,0,1,0.0625,0.0033044815063476562,0,0,1
2,0,1,0.03125,0.0028612613677978516,0,7,7
2,1,1,0.375,0.10904884338378906,0,7,7
2,2,1,0.5625,0.13696861267089844,0,7,7
2,3,1,1.0,0.19990921020507812,0,7,7
2,4,1,0.76171875,0.18250393867492676,0,7,7
2,5,1,0.625,0.17334353923797607,0,7,7
2,6,1,0.4375,0.10251307487487793,0,7,7
3,0,1,0.03125,0.002511262893676758,0,7,7
3,1,1,0.5,0.15961790084838867,0,7,7
3,2,1,0.625,0.13843345642089844,0,7,7
3,3,1,0.625,0.1758575439453125,0,7,7
3,4,1,0.625,0.17167934775352478,0,7,7
3,5,1,0.65625,0.15158748626708984,0,7,7
3,6,1,0.3125,0.0936439037322998,0,7,7
4,0,1,0.0625,0.00278472900390625,0,1,2
4,1,1,0.4375,0.1274566650390625,0,1,2
5,0,1,0.0625,0.0033273696899414062,0,0,1
6,0,1,0.03125,0.0024099349975585938,0,0,1
7,0,1,0.0625,0.004581451416015625,0,7,7
7,1,1,0.5,0.1286640167236328,0,7,7
7,2,1,0.5,0.12339973449707031,0,7,7
7,3,1,0.59375,0.1691645383834839,0,7,7
7,4,1,0.734375,0.16684436798095703,0,7,7
7,5,1,0.75,0.1768641471862793,0,7,7
7,6,1,0.4375,0.09546184539794922,0,7,7
8,0,1,0.125,0.0046346187591552734,0,0,1
9,0,1,0.0625,0.003943800926208496,0,0,1
10,0,1,0.0625,0.005177497863769531,0,0,1
11,0,1,0.0625,0.00394439697265625,0,7,7
11,1,1,0.75,0.18412208557128906,0,7,7
11,2,1,0.75,0.19347965717315674,0,7,7
11,3,1,0.65625,0.20244503021240234,0,7,7
11,4,1,0.625,0.15619134902954102,0,7,7
11,5,1,0.625,0.17106008529663086,0,7,7
11,6,1,0.3125,0.0892903208732605,0,7,7
12,0,1,0.125,0.0047760009765625,0,0,1
13,0,1,0.125,0.005889892578125,0,0,1
14,0,1,0.125,0.005664825439453125,0,0,1
15,0,1,0.125,0.0033485889434814453,0,1,2
15,1,1,0.59375,0.15492749214172363,0,1,2
16,0,1,0.25,0.005855083465576172,0,0,1
17,0,1,0.125,0.003856658935546875,0,2,3
17,1,1,0.5,0.15236520767211914,0,2,3
17,2,1,0.5625,0.1331653594970703,0,2,3
18,0,1,0.125,0.005877256393432617,0,0,1
19,0,1,0.25,0.004687309265136719,0,0,1
20,0,1,0.125,0.0061959028244018555,0,0,1
21,0,1,0.125,0.005080223083496094,0,1,2
21,1,1,0.5,0.11602783203125,0,1,2
22,0,1,0.25,0.007747650146484375,0,1,2
22,1,1,0.5,0.12027263641357422,0,1,2
23,0,1,0.125,0.004344940185546875,0,0,1
24,0,1,0.125,0.003249526023864746,0,1,2
24,1,1,0.5,0.13745594024658203,0,1,2
25,0,1,0.125,0.006340503692626953,0,0,1
26,0,1,0.125,0.00662994384765625,0,0,1
27,0,1,0.125,0.005644798278808594,0,0,1
28,0,1,0.125,0.008655548095703125,0,0,1
29,0,1,0.125,0.0069789886474609375,0,0,1
30,0,1,0.125,0.0064487457275390625,0,0,1
31,0,1,0.125,0.0064640045166015625,0,1,2
31,1,1,0.6240234375,0.16116613149642944,0,1,2
32,0,1,0.125,0.005542755126953125,0,0,1
33,0,1,0.125,0.004873752593994141,0,0,1
34,0,1,0.0625,0.005329132080078125,0,0,1
35,0,1,0.125,0.006575107574462891,0,0,1
36,0,1,0.125,0.005331099033355713,0,7,7
36,1,1,0.5,0.14072847366333008,0,7,7
36,2,1,0.4375,0.13319635391235352,0,7,7
36,3,1,0.625,0.16156864166259766,0,7,7
36,4,1,0.53125,0.1573009490966797,0,7,7
36,5,1,0.796875,0.1434793472290039,0,7,7
36,6,1,0.375,0.1034543514251709,0,7,7
37,0,1,0.125,0.0062198638916015625,0,0,1
38,0,1,0.125,0.0061855316162109375,0,0,1
39,0,1,0.125,0.0072498619556427,0,0,1
40,0,1,0.125,0.007071971893310547,0,0,1
41,0,1,0.125,0.0062255859375,0,0,1
42,0,1,0.125,0.007733583450317383,0,1,2
42,1,1,0.5,0.1695690155029297,0,1,2
43,0,1,0.125,0.006927490234375,0,2,3
43,1,1,0.5,0.1299581527709961,0,2,3
43,2,1,0.5625,0.13271141052246094,0,2,3
44,0,1,0.125,0.00952911376953125,0,0,1
45,0,0,0.25,0.007495880126953125,0,0,1
46,0,1,0.125,0.0076751708984375,0,0,1
47,0,1,0.125,0.00809478759765625,0,0,1
48,0,1,0.25,0.0104217529296875,0,1,2
48,1,1,0.5,0.11101531982421875,0,1,2
49,0,1,0.25,0.0085601806640625,0,2,3
49,1,1,0.375,0.09532737731933594,0,2,3
49,2,1,0.75,0.17201995849609375,0,2,3
50,0,1,0.25,0.006744384765625,0,2,3
50,1,1,0.4375,0.11087226867675781,0,2,3
50,2,1,0.5,0.137847900390625,0,2,3
51,0,1,0.25,0.007831573486328125,0,1,2
51,1,1,0.375,0.08461761474609375,0,1,2
52,0,1,0.25,0.01090240478515625,0,1,2
52,1,1,0.375,0.09184455871582031,0,1,2
