condition,episode_index,episode_seed,success,steps,target_calls,target_rate,hold_1_count,hold_2_count
low_discrepancy_linear,0,7,0,220,88,0.4,88,44
low_discrepancy_linear,1,1016,1,93,37,0.3978494623655914,37,19
low_discrepancy_linear,2,2025,1,82,33,0.4024390243902439,33,16
low_discrepancy_linear,3,3034,1,119,48,0.40336134453781514,47,24
low_discrepancy_linear,4,4043,1,83,33,0.39759036144578314,33,17
low_discrepancy_linear,5,5052,0,220,88,0.4,88,44
low_discrepancy_linear,6,6061,1,89,36,0.4044943820224719,35,18
low_discrepancy_linear,7,7070,0,220,88,0.4,88,44
low_discrepancy_linear,8,8079,1,95,38,0.4,38,19
low_discrepancy_linear,9,9088,1,87,35,0.40229885057471265,35,17
low_discrepancy_linear,10,10097,1,91,37,0.4065934065934066,36,18
low_discrepancy_linear,11,11106,1,81,33,0.4074074074074074,32,16
low_discrepancy_linear,12,12115,1,87,35,0.40229885057471265,35,17
low_discrepancy_linear,13,13124,0,220,88,0.4,88,44
low_discrepancy_linear,14,14133,1,92,37,0.40217391304347827,37,18
low_discrepancy_linear,15,15142,1,87,35,0.40229885057471265,35,17
low_discrepancy_linear,16,16151,1,107,43,0.40186915887850466,43,21
low_discrepancy_linear,17,17160,0,220,88,0.4,88,44
low_discrepancy_linear,18,18169,0,220,88,0.4,88,44
low_discrepancy_linear,19,19178,0,220,88,0.4,88,44
low_discrepancy_linear,20,20187,1,109,44,0.4036697247706422,43,22
low_discrepancy_linear,21,21196,1,78,31,0.3974358974358974,31,16
low_discrepancy_linear,22,22205,1,91,37,0.4065934065934066,36,18
low_discrepancy_linear,23,23214,1,88,35,0.3977272727272727,35,18
low_discrepancy_linear,24,24223,1,77,31,0.4025974025974026,31,15
low_discrepancy_linear,25,25232,1,68,27,0.39705882352941174,27,14
low_discrepancy_linear,26,26241,0,220,88,0.4,88,44
low_discrepancy_linear,27,27250,1,138,55,0.39855072463768115,55,28
low_discrepancy_linear,28,28259,1,83,33,0.39759036144578314,33,17
low_discrepancy_linear,29,29268,1,86,35,0.4069767441860465,34,17
low_discrepancy_linear,30,30277,1,96,39,0.40625,38,19
low_discrepancy_linear,31,31286,1,103,41,0.39805825242718446,41,21
low_discrepancy_linear,32,32295,0,220,88,0.4,88,44
low_discrepancy_linear,33,33304,1,87,35,0.40229885057471265,35,17
low_discrepancy_linear,34,34313,1,81,33,0.4074074074074074,32,16
low_discrepancy_linear,35,35322,0,220,88,0.4,88,44
low_discrepancy_linear,36,36331,1,77,31,0.4025974025974026,31,15
low_discrepancy_linear,37,37340,1,93,37,0.3978494623655914,37,19
low_discrepancy_linear,38,38349,1,87,35,0.40229885057471265,35,17
low_discrepancy_linear,39,39358,1,69,28,0.4057971014492754,27,14
low_discrepancy_linear,40,40367,1,86,35,0.4069767441860465,34,17
low_discrepancy_linear,41,41376,1,81,33,0.4074074074074074,32,16
low_discrepancy_linear,42,42385,1,91,37,0.4065934065934066,36,18
low_discrepancy_linear,43,43394,1,82,33,0.4024390243902439,33,16
low_discrepancy_linear,44,44403,1,89,36,0.4044943820224719,35,18
low_discrepancy_linear,45,45412,0,220,88,0.4,88,44
low_discrepancy_linear,46,46421,1,94,38,0.40425531914893614,37,19
low_discrepancy_linear,47,47430,0,220,88,0.4,88,44
low_discrepancy_linear,48,48439,1,90,36,0.4,36,18
