condition,episode_index,step,previous_hold_depth,target_correction_l2,target_vs_stale_target_l2
low_discrepancy_linear,0,3,2,0.10223141750222896,0.10223141750222896
low_discrepancy_linear,0,5,1,0.18159509441538982,0.18159509441538982
low_discrepancy_linear,0,8,2,0.3186163999767083,0.3186163999767083
low_discrepancy_linear,0,10,1,0.4024698304159532,0.4024698304159532
low_discrepancy_linear,0,13,2,0.3121728128172092,0.3121728128172092
low_discrepancy_linear,0,15,1,0.11970396262891227,0.11970396262891227
low_discrepancy_linear,0,18,2,0.04494145866217545,0.04494145866217545
low_discrepancy_linear,0,20,1,0.1270752498267074,0.1270752498267074
low_discrepancy_linear,0,23,2,0.1692219035989765,0.1692219035989765
low_discrepancy_linear,0,25,1,0.3210190032307637,0.3210190032307637
low_discrepancy_linear,0,28,2,0.5274562936292518,0.5274562936292518
low_discrepancy_linear,0,30,1,0.32557209434014167,0.32557209434014167
low_discrepancy_linear,0,33,2,0.28047600493434116,0.28047600493434116
low_discrepancy_linear,0,35,1,0.3160163163061778,0.3160163163061778
low_discrepancy_linear,0,38,2,0.18743738503179996,0.18743738503179996
low_discrepancy_linear,0,40,1,0.4533634722578814,0.4533634722578814
low_discrepancy_linear,0,43,2,0.27148899388946734,0.27148899388946734
low_discrepancy_linear,0,45,1,0.1617570391110299,0.1617570391110299
low_discrepancy_linear,0,48,2,0.0,0.0
low_discrepancy_linear,0,50,1,0.04898515112813664,0.04898515112813664
low_discrepancy_linear,0,53,2,0.3953936877915154,0.3953936877915154
low_discrepancy_linear,0,55,1,0.5134645975391545,0.5134645975391545
low_discrepancy_linear,0,58,2,0.5577974363338779,0.5577974363338779
low_discrepancy_linear,0,60,1,0.1337483303239203,0.1337483303239203
low_discrepancy_linear,0,63,2,0.26519354231881487,0.26519354231881487
low_discrepancy_linear,0,65,1,0.07092794703147719,0.07092794703147719
low_discrepancy_linear,0,68,2,0.11106998323439493,0.11106998323439493
low_discrepancy_linear,0,70,1,0.023987115001028483,0.023987115001028483
low_discrepancy_linear,0,73,2,0.3274046971663188,0.3274046971663188
low_discrepancy_linear,0,75,1,0.2377373262608236,0.2377373262608236
low_discrepancy_linear,0,78,2,0.2934471770883779,0.2934471770883779
low_discrepancy_linear,0,80,1,0.09239852925375414,0.09239852925375414
low_discrepancy_linear,0,83,2,0.36562609523087847,0.36562609523087847
low_discrepancy_linear,0,85,1,0.19048070680171694,0.19048070680171694
low_discrepancy_linear,0,88,2,0.17502482923134058,0.17502482923134058
low_discrepancy_linear,0,90,1,0.6671264985362433,0.6671264985362433
low_discrepancy_linear,0,93,2,0.895751862341868,0.895751862341868
low_discrepancy_linear,0,95,1,0.6669090479700095,0.6669090479700095
low_discrepancy_linear,0,98,2,0.2463338224229987,0.2463338224229987
low_discrepancy_linear,0,100,1,0.13742122588628483,0.13742122588628483
low_discrepancy_linear,0,103,2,0.394659686932063,0.394659686932063
low_discrepancy_linear,0,105,1,0.19064435344306763,0.19064435344306763
low_discrepancy_linear,0,108,2,0.18195838164375258,0.18195838164375258
low_discrepancy_linear,0,110,1,0.0,0.0
low_discrepancy_linear,0,113,2,0.45622348754685704,0.45622348754685704
low_discrepancy_linear,0,115,1,0.2001493396856057,0.2001493396856057
low_discrepancy_linear,0,118,2,0.21222168503148076,0.21222168503148076
low_discrepancy_linear,0,120,1,0.4085019526989314,0.4085019526989314
low_discrepancy_linear,0,123,2,0.39079569903448175,0.39079569903448175
low_discrepancy_linear,0,125,1,0.4544951435138225,0.4544951435138225
low_discrepancy_linear,0,128,2,0.0973941575512547,0.0973941575512547
low_discrepancy_linear,0,130,1,0.37463267082638557,0.37463267082638557
low_discrepancy_linear,0,133,2,0.6671199571127526,0.6671199571127526
low_discrepancy_linear,0,135,1,0.6746785065322682,0.6746785065322682
low_discrepancy_linear,0,138,2,0.4811082477768648,0.4811082477768648
low_discrepancy_linear,0,140,1,0.10560814303568208,0.10560814303568208
low_discrepancy_linear,0,143,2,0.2494217852408936,0.2494217852408936
low_discrepancy_linear,0,145,1,0.37278955815663045,0.37278955815663045
low_discrepancy_linear,0,148,2,0.2548697821326375,0.2548697821326375
low_discrepancy_linear,0,150,1,0.06809821889210664,0.06809821889210664
low_discrepancy_linear,0,153,2,0.26109361760926253,0.26109361760926253
low_discrepancy_linear,0,155,1,1.3560965946308208,1.3560965946308208
low_discrepancy_linear,0,158,2,0.09618379650608275,0.09618379650608275
low_discrepancy_linear,0,160,1,0.735297003011349,0.735297003011349
low_discrepancy_linear,0,163,2,0.17240764184962687,0.17240764184962687
low_discrepancy_linear,0,165,1,0.2517220977626964,0.2517220977626964
low_discrepancy_linear,0,168,2,0.2283787432195022,0.2283787432195022
low_discrepancy_linear,0,170,1,0.3162106384279115,0.3162106384279115
low_discrepancy_linear,0,173,2,1.184921958024714,1.184921958024714
low_discrepancy_linear,0,175,1,1.3648201959152693,1.3648201959152693
low_discrepancy_linear,0,178,2,0.07851869267832362,0.07851869267832362
low_discrepancy_linear,0,180,1,1.300890327904111,1.300890327904111
low_discrepancy_linear,0,183,2,0.22834249333922832,0.22834249333922832
low_discrepancy_linear,0,185,1,0.32747501086512526,0.32747501086512526
low_discrepancy_linear,0,188,2,0.2887972008307341,0.2887972008307341
low_discrepancy_linear,0,190,1,0.0,0.0
low_discrepancy_linear,0,193,2,0.06477333758917841,0.06477333758917841
